SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,GQESTIMATES2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
40,3,6,1,0,Alabama,Alabama,4779736,4780125,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5312,13632,16519,14493,11718,10548,11178,10961,13195,15504,14226,59690,59067,57929,58903,59647,59389,58961,58271,57313,11075,48833,48366,50851,49712,51876,51710,53195,53665,53879,3151,10857,10701,7078,9191,7771,7679,5766,4606,3434,924,4665,5817,5046,3684,4580,5777,3011,3379,2772,1244,-1893,-114,2297,-959,-1544,-2157,2298,5279,9387,2168,2772,5703,7343,2725,3036,3620,5309,8658,12159,-7,3,115,72,-198,-259,-121,-114,-69,-89,116185,116246,115180,115793,116932,119032,119972,118619,117094,116576,116625,12.45551936,12.28686577,12.01140118,12.18025865,12.30577712,12.22515076,12.10945438,11.93812808,11.70744243,10.18998788,10.06088933,10.5437995,10.27969743,10.70254151,10.6444383,10.92522898,10.99448514,11.0059723,2.265531473,2.225976444,1.467601677,1.900561215,1.603235602,1.580712467,1.184225403,0.943642943,0.701470125,0.973446101,1.210027565,1.046272685,0.761796052,0.944900149,1.189188166,0.618401437,0.69226433,0.566242046,-0.395012534,-0.023713794,0.476275933,-0.198306844,-0.318542758,-0.44401573,0.471964963,1.081522166,1.917501475,0.578433568,1.186313771,1.522548617,0.563489208,0.626357391,0.745172435,1.0903664,1.773786496,2.483743522
50,3,6,1,1,Alabama,Autauga County,54571,54597,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869,176,454,-273,-227,166,-29,379,147,143,336,150,638,615,571,640,651,666,676,631,624,157,514,560,582,573,584,547,573,518,541,-7,124,55,-11,67,67,119,103,113,83,25,4,-14,12,7,13,-3,-12,-7,-16,147,327,-329,-226,101,-107,266,59,37,270,172,331,-343,-214,108,-94,263,47,30,254,11,-1,15,-2,-9,-2,-3,-3,0,-1,455,455,455,455,455,455,455,455,455,455,455,11.6,11.16344923,10.41201302,11.67670133,11.86256913,12.09732351,12.22058518,11.3772617,11.20267141,9.345454546,10.16509199,10.61259471,10.45429666,10.64169028,9.935789732,10.35857294,9.339812302,9.712572485,2.254545455,0.998357249,-0.200581687,1.222404671,1.220878851,2.161533781,1.862012239,2.037449402,1.490098921,0.072727273,-0.2541273,0.218816386,0.127713921,0.236886941,-0.054492448,-0.216933465,-0.12621368,-0.287247985,5.945454546,-5.971991541,-4.121041931,1.842729429,-1.949761746,4.831663745,1.066589535,0.66712945,4.847309743,6.018181818,-6.226118841,-3.902225545,1.97044335,-1.712874805,4.777171297,0.84965607,0.54091577,4.560061758
50,3,6,1,3,Alabama,Baldwin County,182265,182265,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234,847,3446,3587,4740,4298,3756,4662,4920,5334,5379,516,2189,2093,2160,2212,2257,2300,2300,2310,2304,533,1829,1885,1900,1987,2098,2022,2099,2312,2326,-17,360,208,260,225,159,278,201,-2,-22,36,177,239,204,113,131,180,86,97,80,782,2899,3055,4176,3864,3433,4188,4619,5224,5297,818,3076,3294,4380,3977,3564,4368,4705,5321,5377,46,10,85,100,96,33,16,14,15,24,2307,2307,2263,2240,2296,2331,2337,2275,2193,2170,2170,11.8429951,11.11220245,11.21990494,11.22648883,11.22544899,11.20475471,10.94920047,10.73479934,10.44687127,9.895312035,10.0078842,9.869360829,10.08455394,10.43464421,9.850440883,9.99233556,10.74409354,10.54662438,1.947683069,1.104318256,1.350544113,1.141934895,0.790804781,1.354313831,0.956864911,-0.009294199,-0.099753111,0.957610842,1.26890415,1.059657689,0.57350508,0.651543561,0.876893847,0.409404887,0.45076863,0.362738586,15.68425893,16.21967439,21.69181622,19.61082859,17.0744202,20.40239684,21.98885086,24.27644664,24.0178286,16.64186978,17.48857854,22.75147391,20.18433367,17.72596376,21.27929069,22.39825575,24.72721527,24.38056719
50,3,6,1,5,Alabama,Barbour County,27457,27455,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686,-128,14,-172,-232,-182,-472,-477,-649,-285,-186,71,331,300,282,264,271,276,280,263,256,131,323,286,295,308,332,280,295,329,312,-60,8,14,-13,-44,-61,-4,-15,-66,-56,-1,-5,-12,-10,4,13,17,12,12,13,-69,13,-176,-210,-142,-430,-492,-649,-231,-141,-70,8,-188,-220,-138,-417,-475,-637,-219,-128,2,-2,2,1,0,6,2,3,0,-2,3193,3193,3380,3390,3388,3352,3193,2975,2817,2813,2812,12.10946075,11.00715465,10.42398255,9.833867243,10.2190882,10.59724702,10.98836411,10.51390194,10.33132895,11.81678496,10.49348743,10.90452076,11.47284512,12.51932577,10.75083031,11.57702647,13.15237162,12.59130716,0.292675788,0.513667217,-0.480538203,-1.638977874,-2.300237566,-0.15358329,-0.588662363,-2.638469688,-2.259978207,-0.182922368,-0.440286186,-0.369644771,0.148997989,0.490214563,0.652728983,0.47092989,0.479721761,0.524637798,0.475598156,-6.457530728,-7.762540199,-5.289428593,-16.2147894,-18.89074469,-25.46945823,-9.234643907,-5.690302272,0.292675788,-6.897816914,-8.13218497,-5.140430604,-15.72457483,-18.2380157,-24.99852834,-8.754922145,-5.165664474
50,3,6,1,7,Alabama,Bibb County,22915,22915,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394,-45,-125,-78,-146,32,13,20,-36,-183,27,44,264,246,258,253,251,276,291,232,240,32,276,236,275,247,265,241,252,263,252,12,-12,10,-17,6,-14,35,39,-31,-12,0,10,19,20,14,13,14,10,10,10,-59,-124,-105,-151,16,17,-30,-83,-164,31,-59,-114,-86,-131,30,30,-16,-73,-154,41,2,1,-2,2,-4,-3,1,-2,2,-2,2224,2224,2224,2228,2224,2245,2255,2204,2150,2146,2148,11.57513976,10.83414076,11.41896079,11.22598394,11.12613312,12.22537208,12.8943637,10.33016453,10.72362101,12.10128247,10.39372853,12.17137293,10.95975507,11.74671425,10.67505315,11.1662531,11.71048823,11.25980206,-0.526142716,0.440412226,-0.752412145,0.266228868,-0.62058113,1.550318923,1.728110599,-1.380323708,-0.53618105,0.438452264,0.836783229,0.885190759,0.621200692,0.576253906,0.620127569,0.443105282,0.445265712,0.446817542,-5.436808068,-4.624328371,-6.683190227,0.709943648,0.753562801,-1.328844791,-3.677773839,-7.302357682,1.38513438,-4.998355804,-3.787545142,-5.797999469,1.33114434,1.329816707,-0.708717222,-3.234668557,-6.85709197,1.831951922
50,3,6,1,9,Alabama,Blount County,57322,57322,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826,54,184,20,39,-93,0,-32,293,-16,55,184,744,712,647,619,716,700,660,679,651,131,569,587,583,587,633,650,721,688,657,53,175,125,64,32,83,50,-61,-9,-6,-2,-16,5,45,40,13,22,-1,5,6,9,28,-100,-65,-158,-90,-102,358,-9,59,7,12,-95,-20,-118,-77,-80,357,-4,65,-6,-3,-10,-5,-7,-6,-2,-3,-3,-4,489,489,489,489,489,489,489,489,489,489,489,12.94633535,12.36755255,11.2327364,10.75166095,12.44654591,12.17179621,11.45028235,11.75167448,11.26326808,9.901162386,10.19628279,10.12161564,10.19584003,11.00372006,11.30238219,12.50856603,11.90744042,11.367077,3.045172966,2.171269759,1.111120756,0.555820921,1.442825853,0.869414015,-1.058283672,-0.155765936,-0.103808922,-0.278415814,0.08685079,0.781256782,0.694776152,0.225984772,0.382542167,-0.017348913,0.086536631,0.103808922,0.487227675,-1.737015807,-1.128482018,-2.7443658,-1.564509961,-1.773604591,6.210910731,-0.155765936,1.020787737,0.208811861,-1.650165017,-0.347225236,-2.049589648,-1.338525189,-1.391062424,6.193561819,-0.069229305,1.124596659
50,3,6,1,11,Alabama,Bullock County,10914,10911,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101,-35,-201,-69,-57,114,-263,-11,-213,-2,-73,39,169,122,130,124,125,143,136,104,109,53,133,116,120,115,133,130,144,92,109,-14,36,6,10,9,-8,13,-8,12,0,1,17,7,18,6,0,8,8,13,-1,-24,-254,-81,-85,96,-259,-31,-213,-28,-72,-23,-237,-74,-67,102,-259,-23,-205,-15,-73,2,0,-1,0,3,4,-1,0,1,0,1690,1690,1690,1779,1717,1755,1660,1728,1660,1663,1663,15.68372697,11.46562662,12.29023871,11.69149538,11.86915444,13.75727548,13.22635546,10.22113022,10.75215783,12.34281472,10.90174334,11.34483574,10.8429191,12.62878033,12.50661408,14.00437637,9.041769042,10.75215783,3.340912255,0.563883276,0.945402978,0.848576278,-0.759625884,1.250661408,-0.778020909,1.179361179,0,1.577653009,0.657863822,1.70172536,0.565717518,0,0.769637789,0.778020909,1.277641278,-0.09864365,-23.57199202,-7.612424228,-8.035925313,9.051480294,-24.592888,-2.982346433,-20.71480671,-2.751842752,-7.102342787,-21.99433901,-6.954560406,-6.334199953,9.617197813,-24.592888,-2.212708644,-19.9367858,-1.474201474,-7.200986436
50,3,6,1,13,Alabama,Butler County,20947,20940,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448,-8,-66,-196,-314,-29,-165,-150,-124,-257,-183,65,274,240,241,251,239,230,244,216,213,66,264,274,262,287,276,253,269,274,272,-1,10,-34,-21,-36,-37,-23,-25,-58,-59,0,1,6,7,20,27,28,22,17,18,-4,-77,-170,-304,-11,-153,-154,-121,-216,-141,-4,-76,-164,-297,9,-126,-126,-99,-199,-123,-3,0,2,4,-2,-2,-1,0,0,-1,333,333,333,333,333,333,333,333,333,333,333,13.11067515,11.55624037,11.7486472,12.33930634,11.80567562,11.45019167,12.23057644,10.9314507,10.90099542,12.63218336,13.19337442,12.77238824,14.10908733,13.63333251,12.59521083,13.48370927,13.86674764,13.92051997,0.478491794,-1.637134052,-1.023741042,-1.76978099,-1.827656894,-1.145019167,-1.253132832,-2.935296946,-3.019524553,0.047849179,0.288906009,0.341247014,0.983211661,1.333695572,1.393936377,1.102756892,0.860345657,0.921210881,-3.684386813,-8.185670262,-14.81987033,-0.540766413,-7.557608239,-7.666650072,-6.065162907,-10.93145069,-7.216151897,-3.636537633,-7.896764253,-14.47862331,0.442445247,-6.223912668,-6.272713695,-4.962406015,-10.07110504,-6.294941017
50,3,6,1,15,Alabama,Calhoun County,118572,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,-118,-664,-554,-719,-554,-448,-496,-263,-379,-726,318,1385,1356,1309,1315,1388,1382,1324,1299,1269,311,1325,1359,1410,1395,1455,1475,1393,1616,1532,7,60,-3,-101,-80,-67,-93,-69,-317,-263,-4,26,67,45,66,66,102,69,103,14,-113,-752,-606,-659,-534,-438,-502,-259,-159,-475,-117,-726,-539,-614,-468,-372,-400,-190,-56,-461,-8,2,-12,-4,-6,-9,-3,-4,-6,-2,2933,2933,2882,2958,2814,2798,2775,2761,2743,2830,2833,11.72973339,11.54366758,11.20426601,11.31727972,11.99726863,11.99434131,11.52893336,11.34294733,11.13470448,11.2215861,11.56920667,12.06876629,12.00578343,12.57638751,12.80148584,12.12976145,14.11101069,13.44236979,0.508147295,-0.025539088,-0.86450028,-0.688503709,-0.579118875,-0.807144531,-0.600828098,-2.76806336,-2.30766531,0.220197161,0.570372956,0.385173392,0.56801556,0.57047531,0.885255292,0.600828098,0.89940229,0.122841499,-6.36877943,-5.15889569,-5.640650344,-4.59576226,-3.7858816,-4.356844672,-2.25528228,-1.38839771,-4.167836586,-6.148582269,-4.588522734,-5.255476952,-4.027746699,-3.215406291,-3.47158938,-1.654454183,-0.48899542,-4.044995086
50,3,6,1,17,Alabama,Chambers County,34215,34169,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254,-47,-89,71,35,-162,19,-251,-38,-107,-346,83,401,394,405,425,421,391,378,359,354,80,442,476,454,454,445,444,485,414,441,3,-41,-82,-49,-29,-24,-53,-107,-55,-87,6,27,31,29,29,14,13,7,6,6,-54,-74,122,57,-158,31,-209,65,-57,-265,-48,-47,153,86,-129,45,-196,72,-51,-259,-2,-1,0,-2,-4,-2,-2,-3,-1,0,458,458,458,458,458,458,458,458,458,458,458,11.76729514,11.56493535,11.86934924,12.47871278,12.38727142,11.54396894,11.20797011,10.6675383,10.59024142,12.97043504,13.97185083,13.30539396,13.33020142,13.09343416,13.10875245,14.38059657,12.30184082,13.19292787,-1.203139902,-2.406915479,-1.436044723,-0.851488637,-0.706162741,-1.564783514,-3.17262646,-1.634302524,-2.602686451,0.792311643,0.909931462,0.84990402,0.851488637,0.411928266,0.383814824,0.207555002,0.178287548,0.179495617,-2.171520798,3.581020591,1.670501004,-4.639144988,0.912126874,-6.170561403,1.927296448,-1.693731707,-7.927723098,-1.379209156,4.490952053,2.520405023,-3.787656351,1.32405514,-5.786746579,2.13485145,-1.515444159,-7.748227481
